(country(USA))(yearly_salary($70K - $90K))(education(Graduate Degree)) --> (buy(29)), {C=0.0006426735218508998, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Graduate Degree)) --> (buy(274)), {C=0.0006426735218508998, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Graduate Degree)) --> (buy(334)), {C=0.0006426735218508998, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Graduate Degree)) --> (buy(516)), {C=0.0006426735218508998, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Graduate Degree)) --> (buy(568)), {C=0.0006426735218508998, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Graduate Degree)) --> (buy(618)), {C=0.0006426735218508998, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Graduate Degree)) --> (buy(698)), {C=0.0006426735218508998, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Graduate Degree)) --> (buy(758)), {C=0.0006426735218508998, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Graduate Degree)) --> (buy(791)), {C=0.0006426735218508998, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Graduate Degree)) --> (buy(885)), {C=0.0006426735218508998, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Graduate Degree)) --> (buy(941)), {C=0.0006426735218508998, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Graduate Degree)) --> (buy(1002)), {C=0.0006426735218508998, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Graduate Degree)) --> (buy(1081)), {C=0.0006426735218508998, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Graduate Degree)) --> (buy(1090)), {C=0.0006426735218508998, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Graduate Degree)) --> (buy(1422)), {C=0.0007712082262210796, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Graduate Degree)) --> (buy(1443)), {C=0.0006426735218508998, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Graduate Degree)) --> (buy(1451)), {C=0.0006426735218508998, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Graduate Degree)) --> (buy(1452)), {C=0.0007712082262210796, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Graduate Degree)) --> (buy(1488)), {C=0.0006426735218508998, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Graduate Degree)) --> (buy(1493)), {C=0.0007712082262210796, S=0.0005836008170411438}
