(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(4)), {C=0.0007988815658078691, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(6)), {C=0.0005991611743559018, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(8)), {C=0.0005991611743559018, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(11)), {C=0.0007988815658078691, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(13)), {C=0.0006990213700818854, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(19)), {C=0.0006990213700818854, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(25)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(26)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(28)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(37)), {C=0.0005991611743559018, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(39)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(40)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(43)), {C=0.0005991611743559018, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(46)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(47)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(48)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(50)), {C=0.0006990213700818854, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(57)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(58)), {C=0.0005991611743559018, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(61)), {C=0.0005991611743559018, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(62)), {C=0.0005991611743559018, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(66)), {C=0.0005991611743559018, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(70)), {C=0.0009986019572598363, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(75)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(76)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(77)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(79)), {C=0.0005991611743559018, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(81)), {C=0.0005991611743559018, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(89)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(90)), {C=0.0005991611743559018, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(97)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(98)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(99)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(108)), {C=0.0005991611743559018, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(113)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(125)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(127)), {C=0.0007988815658078691, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(128)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(129)), {C=0.0005991611743559018, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(132)), {C=0.0006990213700818854, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(137)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(146)), {C=0.0006990213700818854, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(152)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(153)), {C=0.0006990213700818854, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(155)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(159)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(161)), {C=0.0006990213700818854, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(165)), {C=0.0005991611743559018, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(166)), {C=0.0005991611743559018, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(170)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(173)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(174)), {C=0.0005991611743559018, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(178)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(181)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(196)), {C=0.0006990213700818854, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(214)), {C=0.0005991611743559018, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(216)), {C=0.0005991611743559018, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(221)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(222)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(227)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(231)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(232)), {C=0.0004993009786299181, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(S)) --> (buy(233)), {C=0.0006990213700818854, S=0.0006808676198813345}
