(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(18)), {C=0.0006106870229007633, S=0.0005836008170411438}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(43)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(82)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(188)), {C=0.0006106870229007633, S=0.0005836008170411438}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(216)), {C=0.0006106870229007633, S=0.0005836008170411438}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(221)), {C=0.0006106870229007633, S=0.0005836008170411438}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(261)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(296)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(328)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(360)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(417)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(430)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(441)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(447)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(486)), {C=0.0006106870229007633, S=0.0005836008170411438}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(501)), {C=0.0005089058524173028, S=0.00048633401420095323}
(country(USA))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(518)), {C=0.0005089058524173028, S=0.00048633401420095323}
