(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(2)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(7)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(10)), {C=0.0010559662090813095, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(12)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(14)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(21)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(22)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(30)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(33)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(36)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(37)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(40)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(41)), {C=0.0009503695881731785, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(43)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(45)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(54)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(58)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(61)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(63)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(64)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(66)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(78)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(80)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(82)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(87)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(89)), {C=0.0005279831045406548, S=0.00048633401420095323}
