(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(5)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(10)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(26)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(27)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(28)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(30)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(36)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(42)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(44)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(49)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(50)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(66)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(67)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(70)), {C=0.0008331597583836702, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(95)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(121)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(133)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(174)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(179)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(199)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(216)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(228)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(299)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(304)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(309)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(360)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(368)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(382)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(384)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(390)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(396)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(404)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(407)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(414)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(417)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(422)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(423)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(425)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(431)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(436)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(443)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(447)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(452)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(460)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(463)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(467)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(475)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(487)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(488)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(489)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(492)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(497)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(503)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(519)), {C=0.0008331597583836702, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(523)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(549)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(556)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(564)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(572)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(576)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(581)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(587)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(589)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(594)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(617)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(631)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(650)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(656)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(662)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(674)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(688)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(712)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(719)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(727)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(765)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(787)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(797)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(804)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(809)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(813)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(825)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(838)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(848)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(858)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(862)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(864)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(874)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(887)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(898)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(901)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(908)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(924)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(929)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(930)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(942)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(951)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(962)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(967)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(969)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(980)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(982)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(995)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(998)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1003)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1004)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1005)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1014)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1018)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1035)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1037)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1044)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1060)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1061)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1073)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1083)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1096)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1107)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1136)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1192)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1219)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1226)), {C=0.0008331597583836702, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1254)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1270)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1275)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1309)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1313)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1316)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1324)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1372)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1384)), {C=0.0007290147885857113, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1391)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1392)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1398)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1407)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1411)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1423)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1441)), {C=0.0005207248489897938, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1446)), {C=0.0006248698187877526, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1451)), {C=0.0006248698187877526, S=0.0005836008170411438}
