(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(49)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(86)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(142)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(178)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(284)), {C=0.0005922416345869114, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(323)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(455)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(472)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(477)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(508)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(514)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(523)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(539)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(558)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(570)), {C=0.0005922416345869114, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(593)), {C=0.0005922416345869114, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(682)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(763)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(773)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(838)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(855)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(889)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(894)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(917)), {C=0.00069094857368473, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(948)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(962)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1007)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1030)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1036)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1105)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1152)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1166)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1182)), {C=0.0005922416345869114, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1207)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1362)), {C=0.0005922416345869114, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1378)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1420)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1435)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1450)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1458)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1496)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1503)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1526)), {C=0.000493534695489093, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1555)), {C=0.0005922416345869114, S=0.0005836008170411438}
