(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(41)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(143)), {C=0.0006061830672863204, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(176)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(188)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(211)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(385)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(468)), {C=0.0006061830672863204, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(470)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(552)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(553)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(603)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(606)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(614)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(658)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(686)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(689)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(791)), {C=0.0006061830672863204, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(832)), {C=0.0007072135785007071, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(837)), {C=0.0006061830672863204, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(839)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(869)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(886)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(952)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1019)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1044)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1096)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1109)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1121)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1133)), {C=0.0006061830672863204, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1235)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1239)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1270)), {C=0.0006061830672863204, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1287)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1291)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1311)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1350)), {C=0.0007072135785007071, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1369)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1378)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1403)), {C=0.0006061830672863204, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1407)), {C=0.0006061830672863204, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1409)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1411)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1479)), {C=0.0006061830672863204, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1490)), {C=0.0005051525560719338, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1503)), {C=0.000808244089715094, S=0.0007781344227215252}
