(gender(Male))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(10)), {C=0.0006089515883487262, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(37)), {C=0.0005074596569572719, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(118)), {C=0.0005074596569572719, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(154)), {C=0.0005074596569572719, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(174)), {C=0.0005074596569572719, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(176)), {C=0.0005074596569572719, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(283)), {C=0.0005074596569572719, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(327)), {C=0.0006089515883487262, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(353)), {C=0.0005074596569572719, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(380)), {C=0.0005074596569572719, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(416)), {C=0.0005074596569572719, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(418)), {C=0.0005074596569572719, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(427)), {C=0.0006089515883487262, S=0.0005836008170411438}
