(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(26)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(94)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(298)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(369)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(460)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(468)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(497)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(603)), {C=0.0006093226363359399, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(614)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(886)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(893)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(897)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(950)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1224)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1377)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1411)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1434)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1448)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1503)), {C=0.0007108764090585965, S=0.0006808676198813345}
