(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(N)) --> (buy(26)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(N)) --> (buy(70)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(N)) --> (buy(174)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(N)) --> (buy(228)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(N)) --> (buy(299)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(N)) --> (buy(304)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(N)) --> (buy(360)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(N)) --> (buy(390)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(N)) --> (buy(396)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(N)) --> (buy(436)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(N)) --> (buy(452)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(N)) --> (buy(460)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(N)) --> (buy(576)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(N)) --> (buy(587)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(N)) --> (buy(719)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(N)) --> (buy(813)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(N)) --> (buy(825)), {C=0.0006012024048096192, S=0.0005836008170411438}
