(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College)) --> (buy(62)), {C=0.0005883045064125191, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College)) --> (buy(129)), {C=0.0005883045064125191, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College)) --> (buy(274)), {C=0.0007059654076950229, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College)) --> (buy(285)), {C=0.0005883045064125191, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College)) --> (buy(308)), {C=0.0005883045064125191, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College)) --> (buy(331)), {C=0.0005883045064125191, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College)) --> (buy(379)), {C=0.0005883045064125191, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College)) --> (buy(443)), {C=0.0007059654076950229, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College)) --> (buy(445)), {C=0.0005883045064125191, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College)) --> (buy(465)), {C=0.0007059654076950229, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College)) --> (buy(483)), {C=0.0005883045064125191, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College)) --> (buy(879)), {C=0.0005883045064125191, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College)) --> (buy(905)), {C=0.0005883045064125191, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College)) --> (buy(1111)), {C=0.0005883045064125191, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College)) --> (buy(1144)), {C=0.0005883045064125191, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College)) --> (buy(1243)), {C=0.0005883045064125191, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College)) --> (buy(1280)), {C=0.0005883045064125191, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College)) --> (buy(1365)), {C=0.0005883045064125191, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College)) --> (buy(1438)), {C=0.0005883045064125191, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College)) --> (buy(1441)), {C=0.0005883045064125191, S=0.00048633401420095323}
