(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(2)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(3)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(5)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(7)), {C=0.0016613804561244525, S=0.001069934831242097}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(10)), {C=0.001359311282283643, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(12)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(17)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(19)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(21)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(24)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(28)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(30)), {C=0.0010572421084428334, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(34)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(37)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(41)), {C=0.0009062075215224286, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(43)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(45)), {C=0.0012082766953632382, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(49)), {C=0.001359311282283643, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(50)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(52)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(53)), {C=0.0007551729346020238, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(54)), {C=0.002114484216885667, S=0.001361735239762669}
