(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(22)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(33)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(40)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(41)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(42)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(53)), {C=0.0015030813166992335, S=0.0009726680284019065}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(55)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(60)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(72)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(78)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(80)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(84)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(85)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(87)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(106)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(126)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(141)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(159)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(174)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(178)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(181)), {C=0.0012024650533593868, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(196)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(202)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(214)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(226)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(228)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(233)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(235)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(238)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(248)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(254)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(261)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(262)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(281)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(282)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(314)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(330)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(335)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(341)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(344)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(345)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(349)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(353)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(360)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(362)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(376)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(378)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(382)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(384)), {C=0.0013527731850293103, S=0.0008754012255617158}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(386)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(402)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(403)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(405)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(408)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(410)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(412)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(415)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(416)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(418)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(421)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(424)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(431)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(438)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(440)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(448)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(451)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(455)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(458)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(464)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(466)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(478)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(480)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(481)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(482)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(484)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(485)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(490)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(493)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(498)), {C=0.0010521569216894633, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(501)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(502)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(503)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(505)), {C=0.0012024650533593868, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(511)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(521)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(523)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(527)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(530)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(532)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(542)), {C=0.0013527731850293103, S=0.0008754012255617158}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(551)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(554)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(560)), {C=0.0007515406583496168, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(562)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(567)), {C=0.00090184879001954, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(582)), {C=0.00090184879001954, S=0.0005836008170411438}
