(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(2)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(7)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(8)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(10)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(11)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(20)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(23)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(24)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(25)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(33)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(35)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(37)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(38)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(39)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(41)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(47)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(48)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(50)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(54)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(62)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(65)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(69)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(70)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(72)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(73)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(74)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(75)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(78)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(83)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(84)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(85)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(89)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(97)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(100)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(105)), {C=0.0009312913907284769, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(106)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(108)), {C=0.0009312913907284769, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(115)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(116)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(119)), {C=0.0009312913907284769, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(122)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(125)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(130)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(133)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(134)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(135)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(137)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(138)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(139)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(141)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(143)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(147)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(154)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(160)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(163)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(164)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(165)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(170)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(172)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(175)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(176)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(178)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(180)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(188)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(189)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(193)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(198)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(199)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(201)), {C=0.0009312913907284769, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(205)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(206)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(211)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(213)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(216)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(224)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(228)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(229)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(230)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(232)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(235)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(237)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(240)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(241)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(248)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(258)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(260)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(261)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(262)), {C=0.0005173841059602649, S=0.00048633401420095323}
