(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(3)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(4)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(9)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(10)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(12)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(26)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(27)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(28)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(30)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(31)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(35)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(36)), {C=0.0009553125995117293, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(41)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(42)), {C=0.0008491667551215371, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(44)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(48)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(50)), {C=0.0009553125995117293, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(52)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(59)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(65)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(67)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(70)), {C=0.0009553125995117293, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(74)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(76)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(90)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(95)), {C=0.0008491667551215371, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(107)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(108)), {C=0.0010614584439019212, S=0.0009726680284019065}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(113)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(115)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(121)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(126)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(133)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(140)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(145)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(162)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(164)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(170)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(174)), {C=0.0008491667551215371, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(175)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(180)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(185)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(189)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(194)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(199)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(203)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(220)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(253)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(256)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(259)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(260)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(269)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(271)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(274)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(293)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(294)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(296)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(299)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(304)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(309)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(320)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(326)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(329)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(333)), {C=0.0005307292219509606, S=0.00048633401420095323}
