(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(3)), {C=0.0009037959429604339, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(8)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(16)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(17)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(19)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(21)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(26)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(28)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(32)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(53)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(66)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(85)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(105)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(111)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(116)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(119)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(131)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(142)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(148)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(160)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(162)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(163)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(179)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(182)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(195)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(207)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(212)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(220)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(225)), {C=0.0008033741715203857, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(227)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(241)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(265)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(274)), {C=0.000502108857200241, S=0.00048633401420095323}
