(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(4)), {C=0.0005173305742369374, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(5)), {C=0.0007242628039317124, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(6)), {C=0.0006207966890843248, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(8)), {C=0.0006207966890843248, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(12)), {C=0.0006207966890843248, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(17)), {C=0.0008277289187790999, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(18)), {C=0.0006207966890843248, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(23)), {C=0.0006207966890843248, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(24)), {C=0.0005173305742369374, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(25)), {C=0.0006207966890843248, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(27)), {C=0.0005173305742369374, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(29)), {C=0.0007242628039317124, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(31)), {C=0.0005173305742369374, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(32)), {C=0.0005173305742369374, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(33)), {C=0.0005173305742369374, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(34)), {C=0.0008277289187790999, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(36)), {C=0.0005173305742369374, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(38)), {C=0.0005173305742369374, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(40)), {C=0.0006207966890843248, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(42)), {C=0.0006207966890843248, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(44)), {C=0.0005173305742369374, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(45)), {C=0.0007242628039317124, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(46)), {C=0.0005173305742369374, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(47)), {C=0.0006207966890843248, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(48)), {C=0.0005173305742369374, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(50)), {C=0.0005173305742369374, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(59)), {C=0.0005173305742369374, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(61)), {C=0.0005173305742369374, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(63)), {C=0.0007242628039317124, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(64)), {C=0.0006207966890843248, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(66)), {C=0.0009311950336264874, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(67)), {C=0.0008277289187790999, S=0.0007781344227215252}
