(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(179)), {C=0.0005805178218971323, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(475)), {C=0.0005805178218971323, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(631)), {C=0.0005805178218971323, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(662)), {C=0.0006966213862765587, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(696)), {C=0.0006966213862765587, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1270)), {C=0.0005805178218971323, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1347)), {C=0.0005805178218971323, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1503)), {C=0.0005805178218971323, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1532)), {C=0.0005805178218971323, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(179)), {C=0.0005805178218971323, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(475)), {C=0.0005805178218971323, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(631)), {C=0.0005805178218971323, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(662)), {C=0.0006966213862765587, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(696)), {C=0.0006966213862765587, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1270)), {C=0.0005805178218971323, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1347)), {C=0.0005805178218971323, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1503)), {C=0.0005805178218971323, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1532)), {C=0.0005805178218971323, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(179)), {C=0.0005805178218971323, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(475)), {C=0.0005805178218971323, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(631)), {C=0.0005805178218971323, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(662)), {C=0.0006966213862765587, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(696)), {C=0.0006966213862765587, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1270)), {C=0.0005805178218971323, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1347)), {C=0.0005805178218971323, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1503)), {C=0.0005805178218971323, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1532)), {C=0.0005805178218971323, S=0.00048633401420095323}
