(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(271)), {C=0.0005561735261401558, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(292)), {C=0.0005561735261401558, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(457)), {C=0.0005561735261401558, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(567)), {C=0.0006674082313681868, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(830)), {C=0.0005561735261401558, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1018)), {C=0.0005561735261401558, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1275)), {C=0.0005561735261401558, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1352)), {C=0.0005561735261401558, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(271)), {C=0.0005561735261401558, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(292)), {C=0.0005561735261401558, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(457)), {C=0.0005561735261401558, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(567)), {C=0.0006674082313681868, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(830)), {C=0.0005561735261401558, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1018)), {C=0.0005561735261401558, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1275)), {C=0.0005561735261401558, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1352)), {C=0.0005561735261401558, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(271)), {C=0.0005561735261401558, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(292)), {C=0.0005561735261401558, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(457)), {C=0.0005561735261401558, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(567)), {C=0.0006674082313681868, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(830)), {C=0.0005561735261401558, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1018)), {C=0.0005561735261401558, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1275)), {C=0.0005561735261401558, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1352)), {C=0.0005561735261401558, S=0.00048633401420095323}
