(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(3)), {C=0.0008050603795284646, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(4)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(42)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(70)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(90)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(107)), {C=0.0006900517538815411, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(220)), {C=0.0006900517538815411, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(362)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(368)), {C=0.0006900517538815411, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(445)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(476)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(497)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(559)), {C=0.0006900517538815411, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(575)), {C=0.0006900517538815411, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(576)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(642)), {C=0.0006900517538815411, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(689)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(785)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(822)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(825)), {C=0.0006900517538815411, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(837)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(838)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(859)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(882)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(930)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1084)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1198)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1224)), {C=0.0006900517538815411, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1230)), {C=0.0006900517538815411, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1254)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1376)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1410)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1420)), {C=0.0005750431282346176, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1518)), {C=0.0005750431282346176, S=0.00048633401420095323}
