(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(41)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(53)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(59)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(103)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(179)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(183)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(270)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(271)), {C=0.0010925976509150506, S=0.0007781344227215252}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(284)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(292)), {C=0.0009560229445506692, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(293)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(298)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(334)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(338)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(340)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(371)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(375)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(427)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(434)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(457)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(475)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(476)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(477)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(484)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(502)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(525)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(536)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(542)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(567)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(576)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(593)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(603)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(604)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(631)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(639)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(645)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(662)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(688)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(696)), {C=0.0009560229445506692, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(795)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(808)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(830)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(879)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(892)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(897)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(900)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(930)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(933)), {C=0.0006828735318219066, S=0.00048633401420095323}
