(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(11)), {C=0.0005878318800822965, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(21)), {C=0.0005878318800822965, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(148)), {C=0.0004898599000685804, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(259)), {C=0.0005878318800822965, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(275)), {C=0.0004898599000685804, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(370)), {C=0.0004898599000685804, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(394)), {C=0.0004898599000685804, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(425)), {C=0.0004898599000685804, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(465)), {C=0.0004898599000685804, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(524)), {C=0.0004898599000685804, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(526)), {C=0.0004898599000685804, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(535)), {C=0.0004898599000685804, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(634)), {C=0.0004898599000685804, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(771)), {C=0.0004898599000685804, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(837)), {C=0.0004898599000685804, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(902)), {C=0.0004898599000685804, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(948)), {C=0.0004898599000685804, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(995)), {C=0.0005878318800822965, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1041)), {C=0.0006858038600960124, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1137)), {C=0.0005878318800822965, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1198)), {C=0.0004898599000685804, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1230)), {C=0.0004898599000685804, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1326)), {C=0.0005878318800822965, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1339)), {C=0.0005878318800822965, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1363)), {C=0.0005878318800822965, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1410)), {C=0.0004898599000685804, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1430)), {C=0.0004898599000685804, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1503)), {C=0.0004898599000685804, S=0.00048633401420095323}
