(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(11)), {C=0.0006006607267994794, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(43)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(47)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(51)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(61)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(66)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(191)), {C=0.0006006607267994794, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(222)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(230)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(303)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(317)), {C=0.0006006607267994794, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(334)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(336)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(358)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(417)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(426)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(489)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(502)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(549)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(570)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(574)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(634)), {C=0.0006006607267994794, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(666)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(681)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(736)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(739)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(820)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(830)), {C=0.0006006607267994794, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(853)), {C=0.0005005506056662329, S=0.00048633401420095323}
