(gender(Female))(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(37)), {C=0.0005335609860207022, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(168)), {C=0.0005335609860207022, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(244)), {C=0.0005335609860207022, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(323)), {C=0.0005335609860207022, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(396)), {C=0.0005335609860207022, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(546)), {C=0.0005335609860207022, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(566)), {C=0.0005335609860207022, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(634)), {C=0.0006402731832248425, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(725)), {C=0.0005335609860207022, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(788)), {C=0.0005335609860207022, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(827)), {C=0.0006402731832248425, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(829)), {C=0.0005335609860207022, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(881)), {C=0.000746985380428983, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(897)), {C=0.0005335609860207022, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1212)), {C=0.0005335609860207022, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1262)), {C=0.0005335609860207022, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1308)), {C=0.0005335609860207022, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1355)), {C=0.0005335609860207022, S=0.00048633401420095323}
