(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(126)), {C=0.0007762970630094449, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(593)), {C=0.0006469142191745375, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(996)), {C=0.0007762970630094449, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(1084)), {C=0.0006469142191745375, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(1136)), {C=0.0006469142191745375, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(1236)), {C=0.0006469142191745375, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(1406)), {C=0.0007762970630094449, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(1432)), {C=0.0006469142191745375, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(1446)), {C=0.0007762970630094449, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(126)), {C=0.0007762970630094449, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(593)), {C=0.0006469142191745375, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(996)), {C=0.0007762970630094449, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(1084)), {C=0.0006469142191745375, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(1136)), {C=0.0006469142191745375, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(1236)), {C=0.0006469142191745375, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(1406)), {C=0.0007762970630094449, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(1432)), {C=0.0006469142191745375, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(1446)), {C=0.0007762970630094449, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(126)), {C=0.0007762970630094449, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(593)), {C=0.0006469142191745375, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(996)), {C=0.0007762970630094449, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(1084)), {C=0.0006469142191745375, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(1136)), {C=0.0006469142191745375, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(1236)), {C=0.0006469142191745375, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(1406)), {C=0.0007762970630094449, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(1432)), {C=0.0006469142191745375, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(1446)), {C=0.0007762970630094449, S=0.0005836008170411438}
