(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(12)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(15)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(21)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(34)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(44)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(52)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(53)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(62)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(126)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(138)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(177)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(188)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(222)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(255)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(262)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(290)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(313)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(357)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(364)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(368)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(378)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(415)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(420)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(422)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(429)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(432)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(437)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(447)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(451)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(463)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(464)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(465)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(475)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(484)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(487)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(501)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(505)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(521)), {C=0.0007105877575880621, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(529)), {C=0.0008121002943863568, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(541)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(564)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(579)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(629)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(649)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(668)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(676)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(684)), {C=0.0006090752207897675, S=0.0005836008170411438}
