(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(54)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(100)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(112)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(161)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(163)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(271)), {C=0.0006150061500615005, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(317)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(351)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(404)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(444)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(455)), {C=0.0006150061500615005, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(494)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(515)), {C=0.0005125051250512505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(525)), {C=0.0006150061500615005, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(M)) --> (buy(531)), {C=0.0005125051250512505, S=0.00048633401420095323}
