(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(37)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(49)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(54)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(58)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(107)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(146)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(156)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(157)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(162)), {C=0.0007028818154433176, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(198)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(211)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(220)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(231)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(250)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(257)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(260)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(283)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(306)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(370)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(396)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(401)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(403)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(421)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(426)), {C=0.0006024701275228437, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(427)), {C=0.0007028818154433176, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(472)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(473)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(476)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(492)), {C=0.0005020584396023698, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(marital_status(S)) --> (buy(541)), {C=0.0005020584396023698, S=0.00048633401420095323}
