(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(11)), {C=0.0008222838935142358, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(34)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(43)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(47)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(50)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(51)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(61)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(66)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(86)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(90)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(110)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(117)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(120)), {C=0.0006167129201356768, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(171)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(179)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(191)), {C=0.0007194984068249563, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(203)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(216)), {C=0.0005139274334463974, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(M)) --> (buy(222)), {C=0.0005139274334463974, S=0.00048633401420095323}
