(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(180)), {C=0.0006139991813344249, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(274)), {C=0.0005116659844453541, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(307)), {C=0.0006139991813344249, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(331)), {C=0.0005116659844453541, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(337)), {C=0.0006139991813344249, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(369)), {C=0.0005116659844453541, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(399)), {C=0.0005116659844453541, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(407)), {C=0.0005116659844453541, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(413)), {C=0.0006139991813344249, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(414)), {C=0.0005116659844453541, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(443)), {C=0.0006139991813344249, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(573)), {C=0.0005116659844453541, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(623)), {C=0.0005116659844453541, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(660)), {C=0.0005116659844453541, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(792)), {C=0.0005116659844453541, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(816)), {C=0.0005116659844453541, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(827)), {C=0.0006139991813344249, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(905)), {C=0.0006139991813344249, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(934)), {C=0.0005116659844453541, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(938)), {C=0.0005116659844453541, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(1111)), {C=0.0005116659844453541, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(1164)), {C=0.0006139991813344249, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(1335)), {C=0.0006139991813344249, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(marital_status(M)) --> (buy(1423)), {C=0.0006139991813344249, S=0.0005836008170411438}
