(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(37)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(41)), {C=0.001038961038961039, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(45)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(49)), {C=0.0007792207792207792, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(58)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(92)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(107)), {C=0.0007792207792207792, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(118)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(132)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(156)), {C=0.0007792207792207792, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(157)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(162)), {C=0.0007792207792207792, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(176)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(244)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(271)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(286)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(348)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(391)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(399)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(401)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(404)), {C=0.0007792207792207792, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(440)), {C=0.000909090909090909, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(472)), {C=0.0006493506493506494, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(510)), {C=0.0006493506493506494, S=0.00048633401420095323}
