(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(29)), {C=0.0007000350017500875, S=0.0005836008170411438}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(133)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(248)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(334)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(351)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(370)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(384)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(399)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(408)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(410)), {C=0.0007000350017500875, S=0.0005836008170411438}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(440)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(443)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(447)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(448)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(472)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(504)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(519)), {C=0.0007000350017500875, S=0.0005836008170411438}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(525)), {C=0.0005833625014584063, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(547)), {C=0.0005833625014584063, S=0.00048633401420095323}
