(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(22)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(27)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(30)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(36)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(42)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(50)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(66)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(70)), {C=0.0008935409752361502, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(95)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(96)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(98)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(118)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(133)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(139)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(140)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(143)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(169)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(192)), {C=0.0006382435537401073, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(203)), {C=0.0007658922644881287, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(206)), {C=0.0006382435537401073, S=0.00048633401420095323}
