(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(11)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(12)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(13)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(19)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(20)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(24)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(26)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(28)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(29)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(30)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(31)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(36)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(43)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(44)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(46)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(50)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(52)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(53)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(58)), {C=0.0005161556725508413, S=0.00048633401420095323}
