(gender(Female)) --> (buy(1)), {C=0.00274671375318815, S=0.001361735239762669}
(gender(Female)) --> (buy(2)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(3)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(4)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(5)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(6)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(7)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(8)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(9)), {C=0.0035314891112419072, S=0.0017508024511234317}
(gender(Female)) --> (buy(10)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(11)), {C=0.007259172061997254, S=0.003598871705087054}
(gender(Female)) --> (buy(12)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(13)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(14)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(15)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(16)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(17)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(18)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(19)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(20)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(21)), {C=0.007259172061997254, S=0.003598871705087054}
(gender(Female)) --> (buy(22)), {C=0.003923876790268786, S=0.001945336056803813}
(gender(Female)) --> (buy(23)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(24)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(25)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(26)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(27)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(28)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(29)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(30)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(31)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(32)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(33)), {C=0.0035314891112419072, S=0.0017508024511234317}
(gender(Female)) --> (buy(34)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(35)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(36)), {C=0.007455365901510693, S=0.0036961385079272444}
(gender(Female)) --> (buy(37)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(38)), {C=0.003923876790268786, S=0.001945336056803813}
(gender(Female)) --> (buy(39)), {C=0.003923876790268786, S=0.001945336056803813}
(gender(Female)) --> (buy(40)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(41)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(42)), {C=0.007455365901510693, S=0.0036961385079272444}
(gender(Female)) --> (buy(43)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(44)), {C=0.006866784382970375, S=0.0034043380994066724}
(gender(Female)) --> (buy(45)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(46)), {C=0.00529723366686286, S=0.0026262036766851473}
