(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(24)), {C=0.0005517545795630104, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(79)), {C=0.0005517545795630104, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(109)), {C=0.0005517545795630104, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(136)), {C=0.0006621054954756124, S=0.0005836008170411438}
(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(271)), {C=0.0005517545795630104, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(364)), {C=0.0006621054954756124, S=0.0005836008170411438}
(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(383)), {C=0.0005517545795630104, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(397)), {C=0.0005517545795630104, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(498)), {C=0.0005517545795630104, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(538)), {C=0.0006621054954756124, S=0.0005836008170411438}
(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(554)), {C=0.0005517545795630104, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(679)), {C=0.0005517545795630104, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(791)), {C=0.0005517545795630104, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(812)), {C=0.0005517545795630104, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(883)), {C=0.0005517545795630104, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(909)), {C=0.0006621054954756124, S=0.0005836008170411438}
(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(940)), {C=0.0005517545795630104, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(982)), {C=0.0005517545795630104, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(1164)), {C=0.0005517545795630104, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(1354)), {C=0.0005517545795630104, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(1463)), {C=0.0005517545795630104, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(1484)), {C=0.0005517545795630104, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(member card(Bronze)) --> (buy(1554)), {C=0.0005517545795630104, S=0.00048633401420095323}
