(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(52)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(138)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(357)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(422)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(447)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(475)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(505)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(529)), {C=0.0006958942240779401, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(629)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(668)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(684)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(696)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(700)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(761)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(801)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(804)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(839)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(920)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(952)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1011)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1018)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1162)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1183)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1193)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1266)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1305)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1342)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1344)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1349)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1353)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1367)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1403)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1415)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1452)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1463)), {C=0.0006958942240779401, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1473)), {C=0.0004970673029128144, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1494)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1510)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1516)), {C=0.0005964807634953772, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1537)), {C=0.0004970673029128144, S=0.00048633401420095323}
