(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(9)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(21)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(28)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(36)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(42)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(45)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(48)), {C=0.0009460737937559131, S=0.0007781344227215252}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(53)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(130)), {C=0.0008278145695364238, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(137)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(165)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(182)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(250)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(261)), {C=0.0008278145695364238, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(265)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(273)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(297)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(344)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(364)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(413)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(420)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(421)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(446)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(454)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(468)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(471)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(477)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(482)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(502)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(511)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(515)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(519)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(520)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(522)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(525)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(527)), {C=0.0007095553453169347, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(536)), {C=0.0005912961210974457, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(Y)) --> (buy(546)), {C=0.0005912961210974457, S=0.00048633401420095323}
