(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(11)), {C=0.0005921364282330649, S=0.00048633401420095323}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(12)), {C=0.0005921364282330649, S=0.00048633401420095323}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(237)), {C=0.0005921364282330649, S=0.00048633401420095323}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(365)), {C=0.0005921364282330649, S=0.00048633401420095323}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(519)), {C=0.0005921364282330649, S=0.00048633401420095323}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(583)), {C=0.0005921364282330649, S=0.00048633401420095323}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(627)), {C=0.0007105637138796778, S=0.0005836008170411438}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(634)), {C=0.0007105637138796778, S=0.0005836008170411438}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(675)), {C=0.0005921364282330649, S=0.00048633401420095323}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(769)), {C=0.0007105637138796778, S=0.0005836008170411438}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(772)), {C=0.0007105637138796778, S=0.0005836008170411438}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(827)), {C=0.0005921364282330649, S=0.00048633401420095323}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(883)), {C=0.0005921364282330649, S=0.00048633401420095323}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(909)), {C=0.0005921364282330649, S=0.00048633401420095323}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(924)), {C=0.0005921364282330649, S=0.00048633401420095323}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(934)), {C=0.0005921364282330649, S=0.00048633401420095323}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(973)), {C=0.0005921364282330649, S=0.00048633401420095323}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(995)), {C=0.0005921364282330649, S=0.00048633401420095323}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(1018)), {C=0.0005921364282330649, S=0.00048633401420095323}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(1063)), {C=0.0008289909995262908, S=0.0006808676198813345}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(1129)), {C=0.0005921364282330649, S=0.00048633401420095323}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(1162)), {C=0.0005921364282330649, S=0.00048633401420095323}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(1245)), {C=0.0005921364282330649, S=0.00048633401420095323}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(1266)), {C=0.0005921364282330649, S=0.00048633401420095323}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(1466)), {C=0.0008289909995262908, S=0.0006808676198813345}
(member card(Normal))(house_owner(N))(marital_status(M)) --> (buy(1483)), {C=0.0005921364282330649, S=0.00048633401420095323}
