(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(32)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(85)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(114)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(120)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(124)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(130)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(139)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(152)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(158)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(180)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(200)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(201)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(223)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(234)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(301)), {C=0.0006309148264984227, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(336)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(357)), {C=0.0009463722397476341, S=0.0008754012255617158}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(367)), {C=0.0006309148264984227, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(413)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(417)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(443)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(445)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(446)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(447)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(454)), {C=0.0006309148264984227, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(458)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(463)), {C=0.0007360672975814931, S=0.0006808676198813345}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(496)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(504)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(517)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(521)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(547)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(557)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(565)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(584)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(614)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(632)), {C=0.0006309148264984227, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(644)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(660)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(665)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(670)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(681)), {C=0.0006309148264984227, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(690)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(693)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(702)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(731)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(737)), {C=0.0005257623554153522, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y)) --> (buy(758)), {C=0.0005257623554153522, S=0.00048633401420095323}
