(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(3)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(6)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(12)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(19)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(21)), {C=0.0008002400720216066, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(22)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(24)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(39)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(45)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(52)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(59)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(64)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(65)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(67)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(70)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(81)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(84)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(90)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(96)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(104)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(112)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(113)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(120)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(126)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(135)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(139)), {C=0.0007002100630189056, S=0.0006808676198813345}
