(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(4)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(30)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(31)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(32)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(34)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(42)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(43)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(57)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(58)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(59)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(70)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(76)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(77)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(88)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(89)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(90)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(95)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(102)), {C=0.0005106209150326798, S=0.00048633401420095323}
