(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(2)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(3)), {C=0.0007545542740109948, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(11)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(12)), {C=0.0009701412094427079, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(13)), {C=0.0012935216125902768, S=0.0011672016340822876}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(18)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(19)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(21)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(24)), {C=0.0008623477417268514, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(25)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(26)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(28)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(29)), {C=0.0009701412094427079, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(30)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(31)), {C=0.0008623477417268514, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(34)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(35)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(36)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(37)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(38)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(39)), {C=0.0007545542740109948, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(40)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(41)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(42)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(43)), {C=0.0007545542740109948, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(44)), {C=0.0008623477417268514, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(46)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(48)), {C=0.0007545542740109948, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(50)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(52)), {C=0.0009701412094427079, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(55)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(56)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(57)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(59)), {C=0.0007545542740109948, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(60)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(61)), {C=0.0007545542740109948, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(62)), {C=0.0009701412094427079, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(63)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(64)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(65)), {C=0.0007545542740109948, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(66)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(67)), {C=0.0009701412094427079, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(69)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(70)), {C=0.0009701412094427079, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(75)), {C=0.0009701412094427079, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(76)), {C=0.0007545542740109948, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(77)), {C=0.0007545542740109948, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(81)), {C=0.0008623477417268514, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(82)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(83)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(88)), {C=0.0009701412094427079, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(89)), {C=0.0008623477417268514, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(90)), {C=0.0007545542740109948, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(93)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(96)), {C=0.0008623477417268514, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(103)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(104)), {C=0.0008623477417268514, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(106)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(107)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(108)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(111)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(112)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(113)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(115)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(120)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(123)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(124)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(125)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(126)), {C=0.0009701412094427079, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(127)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(132)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(133)), {C=0.0008623477417268514, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(134)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(135)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(139)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(141)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(143)), {C=0.0008623477417268514, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(144)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(146)), {C=0.0009701412094427079, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(147)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(148)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(150)), {C=0.0007545542740109948, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(152)), {C=0.0009701412094427079, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(153)), {C=0.0008623477417268514, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(155)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(156)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(158)), {C=0.0007545542740109948, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(159)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(161)), {C=0.0007545542740109948, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(162)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(164)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(165)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(166)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(167)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(169)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(170)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(171)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(173)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(176)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(179)), {C=0.0008623477417268514, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(182)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(185)), {C=0.0007545542740109948, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(187)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(188)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(191)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(192)), {C=0.0007545542740109948, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(195)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(196)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(198)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(199)), {C=0.0006467608062951384, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(200)), {C=0.0005389673385792821, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(202)), {C=0.0009701412094427079, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(203)), {C=0.0008623477417268514, S=0.0007781344227215252}
