(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(7)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(10)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(21)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(30)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(41)), {C=0.0008853474988933156, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(45)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(49)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(54)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(61)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(62)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(63)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(66)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(70)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(80)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(82)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(87)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(91)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(92)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(95)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(101)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(107)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(118)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(132)), {C=0.0005533421868083222, S=0.00048633401420095323}
