(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(21)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(25)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(33)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(42)), {C=0.0006224712107065047, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(48)), {C=0.0006224712107065047, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(53)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(59)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(85)), {C=0.0007262164124909222, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(110)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(165)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(169)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(182)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(219)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(254)), {C=0.0005187260089220874, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(261)), {C=0.0008299616142753398, S=0.0007781344227215252}
