(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(15)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(41)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(59)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(139)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(143)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(176)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(178)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(183)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(196)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(223)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(226)), {C=0.0007018247443352717, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(232)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(286)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(298)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(304)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(309)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(345)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(362)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(382)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(400)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(403)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(404)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(441)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(443)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(470)), {C=0.0007018247443352717, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(477)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(505)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(530)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(542)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(552)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(553)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(574)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(576)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(587)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(603)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(606)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(611)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(631)), {C=0.0005013033888109084, S=0.00048633401420095323}
