(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(27)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(30)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(36)), {C=0.0006175380815150267, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(42)), {C=0.0006175380815150267, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(50)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(70)), {C=0.0006175380815150267, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(95)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(98)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(118)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(139)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(169)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(203)), {C=0.0007204610951008645, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(213)), {C=0.0006175380815150267, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(244)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(268)), {C=0.0007204610951008645, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(312)), {C=0.0006175380815150267, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(318)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(338)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(349)), {C=0.0006175380815150267, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(350)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(360)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(361)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(375)), {C=0.0006175380815150267, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(387)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(422)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(437)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(444)), {C=0.0005146150679291889, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(447)), {C=0.0006175380815150267, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(456)), {C=0.0006175380815150267, S=0.0005836008170411438}
