(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(7)), {C=0.0008154112730608501, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(11)), {C=0.0008154112730608501, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(13)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(14)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(15)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(19)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(25)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(28)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(29)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(35)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(39)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(40)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(41)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(43)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(44)), {C=0.0008154112730608501, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(45)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(59)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(62)), {C=0.0009173376821934564, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(65)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(66)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(70)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(76)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(81)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(83)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(84)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(88)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(116)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(127)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(132)), {C=0.0008154112730608501, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(136)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(138)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(153)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(154)), {C=0.0008154112730608501, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(157)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(160)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(166)), {C=0.0009173376821934564, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(172)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(176)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(178)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(179)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(188)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(192)), {C=0.0005096320456630313, S=0.00048633401420095323}
