(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(13)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(46)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(70)), {C=0.0005953562214725143, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(89)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(166)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(243)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(249)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(256)), {C=0.0005953562214725143, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(260)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(269)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(326)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(337)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(350)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(362)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(376)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(414)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(427)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(431)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(433)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(436)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(456)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(460)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(587)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(651)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(652)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(728)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(812)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(822)), {C=0.0004961301845604287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(825)), {C=0.0007938082952966859, S=0.0007781344227215252}
