(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(106)), {C=0.0004927564797477087, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(317)), {C=0.0004927564797477087, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(360)), {C=0.0004927564797477087, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(490)), {C=0.0004927564797477087, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(502)), {C=0.0004927564797477087, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(531)), {C=0.0004927564797477087, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(546)), {C=0.0004927564797477087, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(589)), {C=0.0005913077756972504, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(628)), {C=0.000689859071646792, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(712)), {C=0.0005913077756972504, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(900)), {C=0.0004927564797477087, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(970)), {C=0.0005913077756972504, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1044)), {C=0.0004927564797477087, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1124)), {C=0.0004927564797477087, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1389)), {C=0.0004927564797477087, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1446)), {C=0.0004927564797477087, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1504)), {C=0.0005913077756972504, S=0.0005836008170411438}
