(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(6)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(8)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(12)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(13)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(25)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(30)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(34)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(37)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(43)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(69)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(70)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(89)), {C=0.000894054537326777, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(102)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(112)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(126)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(137)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(138)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(141)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(142)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(147)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(148)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(155)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(156)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(162)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(180)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(187)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(195)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(196)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(200)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(206)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(222)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(224)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(228)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(231)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(233)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(238)), {C=0.000894054537326777, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(239)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(248)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(249)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(253)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(255)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(258)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(260)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(265)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(266)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(287)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(296)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(297)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(300)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(309)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(316)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(327)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(336)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(337)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(342)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(348)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(353)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(365)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(369)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(370)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(385)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(386)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(394)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(405)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(411)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(413)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(420)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(426)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(433)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(454)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(456)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(458)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(460)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(463)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(464)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(470)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(472)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(473)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(477)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(480)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(483)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(486)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(492)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(497)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(500)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(502)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(504)), {C=0.0005587840858292356, S=0.00048633401420095323}
