(gender(Female))(yearly_salary($130K - $150K)) --> (buy(23)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(29)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(65)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(161)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(166)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(231)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(411)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(420)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(462)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(465)), {C=0.0011217049915872126, S=0.0005836008170411438}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(474)), {C=0.0011217049915872126, S=0.0005836008170411438}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(507)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(726)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(778)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(798)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(917)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(933)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(950)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(977)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(1048)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(1121)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(1243)), {C=0.0011217049915872126, S=0.0005836008170411438}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(1282)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(1302)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(1377)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(1392)), {C=0.0009347541596560105, S=0.00048633401420095323}
(gender(Female))(yearly_salary($130K - $150K)) --> (buy(1436)), {C=0.0011217049915872126, S=0.0005836008170411438}
