(gender(Male))(yearly_salary($10K - $30K)) --> (buy(4)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(6)), {C=0.0015890672175433022, S=0.0009726680284019065}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(8)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(9)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(11)), {C=0.0015890672175433022, S=0.0009726680284019065}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(12)), {C=0.0015890672175433022, S=0.0009726680284019065}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(13)), {C=0.0012712537740346417, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(14)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(17)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(18)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(19)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(22)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(24)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(25)), {C=0.001430160495788972, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(26)), {C=0.0011123470522803112, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(27)), {C=0.0015890672175433022, S=0.0009726680284019065}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(28)), {C=0.0007945336087716511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(29)), {C=0.0009534403305259811, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K)) --> (buy(30)), {C=0.0017479739392976322, S=0.001069934831242097}
