(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(29)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(53)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(54)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(100)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(112)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(113)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(132)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(161)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(163)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(191)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(271)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(292)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(295)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(308)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(317)), {C=0.0006101281269066505, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(348)), {C=0.0007321537522879804, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(351)), {C=0.0006101281269066505, S=0.00048633401420095323}
