(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(333)), {C=0.0005600358422939068, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(433)), {C=0.0005600358422939068, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(552)), {C=0.0005600358422939068, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(733)), {C=0.0005600358422939068, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(996)), {C=0.0005600358422939068, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(1136)), {C=0.0005600358422939068, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(1381)), {C=0.0005600358422939068, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(1446)), {C=0.0006720430107526881, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(333)), {C=0.0005600358422939068, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(433)), {C=0.0005600358422939068, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(552)), {C=0.0005600358422939068, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(733)), {C=0.0005600358422939068, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(996)), {C=0.0005600358422939068, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(1136)), {C=0.0005600358422939068, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(1381)), {C=0.0005600358422939068, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(1446)), {C=0.0006720430107526881, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(333)), {C=0.0005600358422939068, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(433)), {C=0.0005600358422939068, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(552)), {C=0.0005600358422939068, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(733)), {C=0.0005600358422939068, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(996)), {C=0.0005600358422939068, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(1136)), {C=0.0005600358422939068, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(1381)), {C=0.0005600358422939068, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School))(marital_status(M)) --> (buy(1446)), {C=0.0006720430107526881, S=0.0005836008170411438}
