(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(3)), {C=0.0006746120980436249, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(70)), {C=0.0005621767483696875, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(174)), {C=0.0005621767483696875, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(575)), {C=0.0005621767483696875, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(825)), {C=0.0006746120980436249, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1387)), {C=0.0005621767483696875, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1420)), {C=0.0005621767483696875, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(3)), {C=0.0006746120980436249, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(70)), {C=0.0005621767483696875, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(174)), {C=0.0005621767483696875, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(575)), {C=0.0005621767483696875, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(825)), {C=0.0006746120980436249, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1387)), {C=0.0005621767483696875, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1420)), {C=0.0005621767483696875, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(3)), {C=0.0006746120980436249, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(70)), {C=0.0005621767483696875, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(174)), {C=0.0005621767483696875, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(575)), {C=0.0005621767483696875, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(825)), {C=0.0006746120980436249, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1387)), {C=0.0005621767483696875, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1420)), {C=0.0005621767483696875, S=0.00048633401420095323}
