(gender(Male))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(S)) --> (buy(43)), {C=0.0006123073783039085, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(S)) --> (buy(89)), {C=0.0005102561485865905, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(S)) --> (buy(228)), {C=0.0005102561485865905, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(S)) --> (buy(456)), {C=0.0005102561485865905, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(S)) --> (buy(506)), {C=0.0005102561485865905, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(S)) --> (buy(553)), {C=0.0006123073783039085, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(S)) --> (buy(593)), {C=0.0006123073783039085, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(S)) --> (buy(596)), {C=0.0005102561485865905, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(S)) --> (buy(782)), {C=0.0005102561485865905, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(S)) --> (buy(786)), {C=0.0005102561485865905, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(S)) --> (buy(827)), {C=0.0006123073783039085, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(S)) --> (buy(948)), {C=0.0005102561485865905, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(S)) --> (buy(1085)), {C=0.0005102561485865905, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(S)) --> (buy(1332)), {C=0.0005102561485865905, S=0.00048633401420095323}
