(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(15)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(26)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(62)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(94)), {C=0.0006272214091574325, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(136)), {C=0.0006272214091574325, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(143)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(182)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(228)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(246)), {C=0.0006272214091574325, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(271)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(272)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(286)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(292)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(298)), {C=0.0007317583106836713, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(312)), {C=0.0005226845076311938, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(362)), {C=0.0006272214091574325, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(369)), {C=0.0007317583106836713, S=0.0006808676198813345}
