(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(9)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(11)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(12)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(13)), {C=0.000928888430178553, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(24)), {C=0.0008256786046031583, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(26)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(28)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(29)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(30)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(31)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(35)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(37)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(38)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(39)), {C=0.0008256786046031583, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(41)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(43)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(44)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(48)), {C=0.0008256786046031583, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(50)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(52)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(55)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(56)), {C=0.0008256786046031583, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(59)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(60)), {C=0.000928888430178553, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(62)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(63)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(65)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(67)), {C=0.001032098255753948, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(75)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(80)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(81)), {C=0.0007224687790277634, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(88)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(90)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(93)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(96)), {C=0.000928888430178553, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(98)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(103)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(104)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(106)), {C=0.0008256786046031583, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(107)), {C=0.000516049127876974, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(108)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(111)), {C=0.0006192589534523686, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(112)), {C=0.000516049127876974, S=0.00048633401420095323}
