(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(67)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(202)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(262)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(264)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(341)), {C=0.0006317119393556538, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(386)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(394)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(396)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(428)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(440)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(456)), {C=0.0007369972625815961, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(471)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(480)), {C=0.0006317119393556538, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(501)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(522)), {C=0.0008422825858075385, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(550)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(644)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(657)), {C=0.0006317119393556538, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(683)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(689)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(723)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(777)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(856)), {C=0.0006317119393556538, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(882)), {C=0.0007369972625815961, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(905)), {C=0.0007369972625815961, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(922)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(954)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(998)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1000)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1038)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1044)), {C=0.0006317119393556538, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1146)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1152)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1171)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1211)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1229)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1305)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1311)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1344)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1358)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1376)), {C=0.0006317119393556538, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1447)), {C=0.0006317119393556538, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1466)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1526)), {C=0.0006317119393556538, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1527)), {C=0.0006317119393556538, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1538)), {C=0.0005264266161297116, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1555)), {C=0.0005264266161297116, S=0.00048633401420095323}
