(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(7)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(8)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(37)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(51)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(66)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(70)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(97)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(110)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(143)), {C=0.0006014434643143544, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(168)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(264)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(383)), {C=0.0006014434643143544, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(397)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(412)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(422)), {C=0.0006014434643143544, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(437)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(447)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(469)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(544)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(549)), {C=0.0006014434643143544, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(563)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(579)), {C=0.0006014434643143544, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(586)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(636)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(662)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(704)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(707)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(725)), {C=0.0006014434643143544, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(739)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(765)), {C=0.0006014434643143544, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(784)), {C=0.0007016840417000801, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(805)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(806)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(814)), {C=0.0007016840417000801, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(820)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(901)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(911)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(929)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(940)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(943)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(963)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1039)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1059)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1060)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1090)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1123)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1180)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1196)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1223)), {C=0.0006014434643143544, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1228)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1234)), {C=0.0007016840417000801, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1308)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1332)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1342)), {C=0.0006014434643143544, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1348)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1362)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1368)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1380)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1408)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1411)), {C=0.0006014434643143544, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1412)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1413)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1447)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1454)), {C=0.0005012028869286287, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Partial High School)) --> (buy(1512)), {C=0.0006014434643143544, S=0.0005836008170411438}
