(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(66)), {C=0.000504133897963299, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(358)), {C=0.000504133897963299, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(389)), {C=0.000504133897963299, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(415)), {C=0.000504133897963299, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(570)), {C=0.000504133897963299, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(706)), {C=0.0006049606775559588, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1356)), {C=0.000504133897963299, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1419)), {C=0.0006049606775559588, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(66)), {C=0.000504133897963299, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(358)), {C=0.000504133897963299, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(389)), {C=0.000504133897963299, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(415)), {C=0.000504133897963299, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(570)), {C=0.000504133897963299, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(706)), {C=0.0006049606775559588, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1356)), {C=0.000504133897963299, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1419)), {C=0.0006049606775559588, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(66)), {C=0.000504133897963299, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(358)), {C=0.000504133897963299, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(389)), {C=0.000504133897963299, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(415)), {C=0.000504133897963299, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(570)), {C=0.000504133897963299, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(706)), {C=0.0006049606775559588, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1356)), {C=0.000504133897963299, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1419)), {C=0.0006049606775559588, S=0.0005836008170411438}
