(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(41)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(124)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(180)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(194)), {C=0.0006125574272588055, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(234)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(268)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(307)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(327)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(335)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(357)), {C=0.0006125574272588055, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(367)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(445)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(454)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(541)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(546)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(632)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(758)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(909)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(926)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(937)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(945)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(952)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1002)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1100)), {C=0.0007146503318019397, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1118)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1124)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1144)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1162)), {C=0.0006125574272588055, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1203)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1275)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1287)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1305)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1354)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1368)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1382)), {C=0.0006125574272588055, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1409)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1412)), {C=0.0007146503318019397, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1431)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1440)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1483)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1495)), {C=0.0005104645227156713, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1543)), {C=0.0005104645227156713, S=0.00048633401420095323}
