(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(61)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(126)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(244)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(323)), {C=0.0006391818472355385, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(457)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(546)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(566)), {C=0.0006391818472355385, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(634)), {C=0.0006391818472355385, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(755)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(827)), {C=0.0006391818472355385, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(829)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(881)), {C=0.0007457121551081282, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1246)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1262)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1308)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1315)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1355)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1508)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1539)), {C=0.0005326515393629488, S=0.00048633401420095323}
